Time, Altitude, U, V, W, Temperature
10.675121,-8738.192661,0.08,0.04,-0.14,22.61
10.763432,-2648.259184,0.12,0.04,-0.14,22.61
10.852485,-12034.97509,0.08,0.04,-0.1,22.61
10.940845,-12034.97509,0.04,0,-0.12,22.53
11.029438,30679.58867,0.12,0.08,-0.1,22.61
11.117765,6831.79737,0.06,0.06,-0.1,22.57
11.205964,15736.92836,0.06,0,-0.12,22.57
11.294537,-92.270939,0.12,0.06,-0.14,22.45
11.383378,-4012.802592,0.12,0.02,-0.14,22.45
11.472338,-9374.532498,0.1,-0.02,-0.12,22.45
11.555643,4450.973055,0.16,0.02,-0.14,22.45
11.644345,-5543.008683,0.18,0.02,-0.16,22.45
11.733543,2460.787659,0.12,-0.06,-0.08,22.37
11.82202,-11351.55356,0.14,-0.02,-0.1,22.37
11.910444,1357.201491,0.08,-0.06,-0.04,22.33
11.998885,20251.96928,0.12,0,-0.06,22.41
12.087506,-11684.79617,0.08,-0.06,-0.1,22.29
12.174251,-0.93438,0.04,-0.04,0,22.45
12.257016,-10800.85256,0.1,-0.02,-0.06,22.33
12.34528,-8262.762536,0.14,-0.02,-0.06,22.33
12.433757,6235.386529,0.1,-0.08,-0.04,22.33
12.522461,-12402.71166,0.08,0,-0.06,22.29
12.609984,6033.163354,0.06,0.02,0,22.37
12.697049,-6887.758394,0.12,0,-0.06,22.29
12.78406,5193.486877,0.1,-0.02,-0.06,22.29
12.87087,4757.138385,0.06,-0.02,-0.02,22.37
12.957605,-2576.401332,0.12,0.04,-0.06,22.37
13.044756,3513.441305,0.04,0.02,-0.06,22.37
13.131645,-164.772417,0.06,0.02,-0.08,22.37
13.218883,18562.3204,0.12,0.04,-0.04,22.33
13.303621,-9694.887212,0.12,0.02,-0.04,22.33
13.389008,-1225.958684,0.08,0.06,-0.04,22.45
13.478468,11088.72254,0.08,0.04,-0.02,22.45
13.567161,-12319.36521,0.08,0.02,-0.1,22.33
13.656948,-7669.917333,0.12,0.08,-0.06,22.65
13.745915,8101.953254,0.12,0.12,-0.06,22.69
13.834853,1533.509481,0.04,0.08,-0.04,22.81
13.912545,-14333.75979,0.06,0.14,-0.04,22.93
13.996025,588.119037,-0.02,0.12,0,22.81
14.081466,-3808.216727,0,0.14,0,22.81
14.169782,-14344.5993,-0.04,0.12,-0.04,22.85
14.259825,-9391.559705,0.04,0.16,-0.04,22.97
14.3497,-1026.757392,0,0.12,-0.02,22.93
14.439291,14886.56807,0.04,0.1,-0.08,23.09
14.528936,3512.590575,0.08,0.12,-0.06,23.13
14.618645,-6765.224611,0.02,0.12,-0.06,23.13
14.698363,5230.754325,0.06,0.12,-0.02,22.93
14.786831,-5478.257351,0.02,0.12,0.02,23.01
14.875433,-2558.416843,0.02,0.14,0.12,22.61
14.959149,17158.92137,0.06,0.2,0.12,22.69
15.04795,7994.346643,0,0.12,0.08,22.57
15.136793,-1575.506057,0.1,0.16,0.12,22.53
15.225055,-13556.32533,0.1,0.14,0.12,22.45
15.313196,-7546.893664,0.06,0.2,0.18,22.49
15.401422,-5295.961673,0.04,0.2,0.22,22.53
15.489553,-1570.767897,0.08,0.12,0.18,22.33
15.577951,-13971.68809,0.18,0.2,0.18,22.41
15.661628,-1297.122821,0.16,0.14,0.18,22.33
15.749331,4391.27606,0.1,0.22,0.24,22.45
15.837652,-2446.541157,0.08,0.2,0.24,22.37
15.925923,-1674.351232,0.2,0.22,0.16,22.45
16.013309,-7816.017979,0.14,0.2,0.2,22.53
16.101022,-6336.188424,0.14,0.18,0.2,22.45
16.187985,5498.396843,0.04,0.2,0.2,22.61
16.276429,-2851.126207,0.04,0.2,0.2,22.65
16.364595,-5706.212804,-0.04,0.2,0.36,22.57
16.452745,-8179.430288,-0.04,0.12,0.32,22.45
16.536927,-2497.703195,-0.06,0.1,0.28,22.29
16.625007,15621.82377,-0.12,0.08,0.4,22.45
16.713316,-1377.755416,-0.08,0.08,0.36,22.37
16.802141,-1377.755416,-0.16,0.02,0.32,22.37
16.890182,-9949.935178,-0.2,0.02,0.36,22.41
16.978492,-12733.02798,-0.04,0,0.26,22.45
17.066773,-2349.713233,-0.04,0.02,0.22,22.37
17.154943,13914.38538,-0.02,0.04,0.24,22.45
17.243226,591.147573,0,0.06,0.14,22.45
17.331011,2962.630695,0,0.04,0.12,22.45
17.414651,10446.48084,-0.02,0.14,0.12,22.53
17.50284,-12170.02823,-0.06,0.06,0.14,22.41
17.590833,1426.057452,-0.06,0.12,0.12,22.53
17.679138,5009.159853,0.04,0.06,0.04,22.53
17.763109,-9467.092285,0.04,0.04,0.06,22.45
17.851138,-9066.722864,0.12,0.02,0.1,22.45
17.939595,4381.762885,0.14,0.04,0.04,22.45
18.024009,-8161.640732,0.06,-0.02,0.06,22.37
18.10746,8798.40501,0.04,0.04,0.1,22.45
18.192569,-255.082483,0.04,0.04,0.12,22.49
18.282831,4008.211922,0.04,0.06,0.1,22.61
18.372642,-11596.64627,0.04,0.04,0.08,22.61
18.462586,-1308.265913,0,-0.02,0.04,22.45
18.55234,-206.457761,-0.06,0.04,0.12,22.49
18.642289,25737.20706,-0.06,0.08,0.08,22.61
18.732837,-14190.24878,-0.06,-0.04,0.08,22.49
18.822357,4674.829848,-0.04,-0.04,0.04,22.41
18.911671,-10957.98164,-0.06,-0.06,0.08,22.45
18.997044,23034.38232,-0.1,-0.02,0.08,22.49
19.086271,-1201.280878,-0.04,-0.04,0.04,22.45
19.173578,5718.113559,-0.08,-0.06,0.08,22.53
19.262174,-14210.78134,-0.1,-0.08,0.06,22.45
19.352253,-12397.31782,-0.06,-0.06,0.04,22.37
19.44083,-1774.503072,-0.04,-0.06,0.04,22.37
19.5306,-7437.419473,-0.06,-0.06,0,22.33
19.619983,4410.337689,-0.06,0,0.04,22.41
19.710198,-14027.49691,-0.04,0,0.04,22.45
19.800284,-14739.6227,-0.08,0.02,0.02,22.53
19.889641,-2504.599713,-0.02,0.04,0,22.45
19.979029,-1851.739948,0.04,0.04,0.2,22.45
20.068881,1171.168121,0.04,0.08,0.22,22.53
20.158301,-2703.349016,0.08,0.04,0.22,22.37
20.247972,-2420.651475,0.02,0.02,0.1,22.45
20.337051,-2420.651475,0,-0.02,0.1,22.45
20.427033,9724.960484,-0.06,-0.02,0.16,22.37
20.516113,-8910.691817,-0.04,-0.02,0.18,22.45
20.605471,208.144457,-0.1,-0.06,0.16,22.37
20.695022,-8476.457257,-0.02,-0.04,0.04,22.37
20.784713,14531.90549,-0.12,-0.04,0.08,22.45
20.874761,-1832.161666,0,0.04,-0.02,22.45
20.964825,17440.00646,0.04,0.06,0,22.45
21.045229,-3264.512618,-0.06,-0.04,-0.04,22.37
21.13428,4660.636646,-0.06,-0.02,-0.02,22.45
21.223783,-14894.20546,0,-0.04,-0.04,22.37
21.313725,-3139.062241,0,0.02,-0.04,22.49
21.403078,-7335.785152,-0.02,-0.06,-0.04,22.37
21.492309,-12895.07367,-0.06,-0.02,-0.02,22.37
21.581722,2249.067437,-0.04,0,-0.04,22.45
21.671017,2689.678866,-0.02,-0.02,0,22.45
21.759954,-3284.650704,-0.02,-0.04,-0.02,22.45
21.849306,10329.89945,-0.06,-0.02,-0.02,22.45
21.939177,-3763.679713,-0.06,0.04,-0.02,22.33
22.028534,18015.8441,-0.08,0.04,0,22.45
22.117541,-6841.157938,-0.06,0.04,-0.02,22.45
22.206721,-6959.596582,0.02,0.06,-0.02,22.49
22.295929,-3712.78564,0.04,0.04,-0.06,22.29
22.384974,-4978.321211,-0.18,-0.16,-0.14,22.33
22.463849,-10575.65591,-0.2,-0.14,-0.14,22.45
22.553068,-2734.999855,-0.2,-0.14,-0.16,22.37
22.642856,-6582.898013,-0.36,-0.26,-0.34,22.37
22.727548,-14562.40416,-0.42,-0.3,-0.32,22.33
