56.8,-5.93723,7.00976,1.18745
56.907,-5.93723,7.00976,1.22575
57.015,-5.89892,7.12467,1.22575
57.123,-6.20536,7.46941,0.957617
57.23,-5.97553,7.08637,1.22575
57.338,-5.86062,7.00976,1.18745
57.446,-5.86062,7.12467,1.03423
57.554,-5.93723,7.16298,1.11084
57.663,-5.93723,7.04806,1.03423
57.77,-6.01384,7.08637,1.34066
57.878,-6.05214,7.04806,1.26405
57.987,-6.01384,7.08637,1.34066
58.103,-6.01384,7.00976,1.18745
58.211,-6.01384,7.08637,1.14914
58.319,-6.05214,6.97145,1.14914
58.427,-5.86062,7.08637,1.14914
58.536,-5.78401,7.04806,1.41727
58.643,-5.59248,6.89484,1.6088
58.751,-5.13283,7.81416,2.4515
58.86,-5.43926,7.20128,1.76202
58.967,-4.40504,6.28197,3.2942
59.076,-3.98369,7.77585,1.95354
59.183,-2.10676,6.58841,0.497961
59.291,-1.76202,5.82231,1.83862
59.399,-8.65686,6.74162,0.65118
59.507,-8.35042,4.86469,-2.37489
59.616,-6.66501,7.96737,-3.56234
59.723,-6.5501,7.92907,1.72371
59.832,-6.5118,13.4833,2.75794
59.939,-2.56641,3.94538,0.306437
60.047,-2.94946,6.01384,-0.727789
60.155,-12.3341,11.2616,-7.43111
60.263,-6.85654,6.81823,2.68133
60.371,-3.90708,4.71148,0.919312
60.478,-6.35858,6.20536,-0.268133
60.585,-7.50772,6.77993,0.229828
60.694,-9.15482,9.806,3.2942
60.802,-3.83047,6.32027,0.881008
60.911,-4.903,4.74978,0.229828
61.018,-3.17929,13.4449,-10.0741
61.125,-6.05214,10.5338,1.45558
61.234,-6.62671,4.67317,3.48573
61.341,-6.58841,7.54602,0.421352
61.448,-5.89892,5.89892,0.0
61.556,-6.01384,7.31619,-0.421352
61.665,-8.50364,10.0741,1.6471
61.772,-4.13691,6.05214,-1.07253
61.878,-3.21759,5.93723,-1.37897
61.986,-5.51587,8.84838,-3.44742
62.094,-7.89076,10.4572,-1.37897
62.201,-6.05214,7.12467,2.03015
62.309,-6.43519,7.54602,0.957617
62.417,-6.5118,6.93315,-1.53219
62.525,-6.89484,4.82639,-1.11084
62.632,-6.97145,9.15482,-2.03015
62.739,-8.1972,6.16705,-0.689484
62.847,-5.13283,6.09044,-2.4515
62.955,-4.63487,6.58841,-2.25998
63.062,-5.24774,8.23551,-2.18337
63.17,-6.70332,5.24774,-2.52811
63.277,-7.58433,6.43519,0.919312
63.385,-6.58841,6.81823,1.18745
63.494,-6.74162,6.20536,0.804398
63.601,-7.69924,6.09044,0.957617
63.708,-5.55418,8.38873,-1.49388
63.816,-5.93723,7.58433,-1.14914
63.924,-5.78401,6.24366,-2.03015
